col,row,width_m,height_m,hex_color,length_m
12,9,0.015,0.015,#13110D,0.03
13,9,0.015,0.015,#13110D,0.03
14,9,0.015,0.015,#1B140D,0.05
15,9,0.015,0.015,#2B1D16,0.09
16,9,0.015,0.015,#40211B,0.09
17,9,0.015,0.015,#4E3028,0.05
18,9,0.015,0.015,#4E3028,0.05
19,9,0.015,0.015,#4E3028,0.07
20,9,0.015,0.015,#4E3028,0.09
21,9,0.015,0.015,#4E3028,0.05
22,9,0.015,0.015,#4E3028,0.09
23,9,0.015,0.015,#40211B,0.09
24,9,0.015,0.015,#40211B,0.07
25,9,0.015,0.015,#40211B,0.07
26,9,0.015,0.015,#40211B,0.01
27,9,0.015,0.015,#4E3028,0.03
28,9,0.015,0.015,#4E3028,0.05
29,9,0.015,0.015,#40211B,0.05
30,9,0.015,0.015,#4E3028,0.05
31,9,0.015,0.015,#40211B,0.05
32,9,0.015,0.015,#40211B,0.09
33,9,0.015,0.015,#4E3028,0.03
34,9,0.015,0.015,#4E3028,0.07
35,9,0.015,0.015,#4E3028,0.03
36,9,0.015,0.015,#4E3028,0.07
37,9,0.015,0.015,#5A502E,0.09
38,9,0.015,0.015,#716155,0.03
39,9,0.015,0.015,#716155,0.01
40,9,0.015,0.015,#5A502E,0.07
41,9,0.015,0.015,#4E3028,0.01
42,9,0.015,0.015,#40211B,0.05
43,9,0.015,0.015,#4E3028,0.03
44,9,0.015,0.015,#3A1D2D,0.01
45,9,0.015,0.015,#2B1D16,0.09
46,9,0.015,0.015,#2B1D16,0.07
47,9,0.015,0.015,#080504,0.09
48,9,0.015,0.015,#080504,0.01
49,9,0.015,0.015,#080504,0.03
50,9,0.015,0.015,#080504,0.03
1,10,0.015,0.015,#080504,0.09
2,10,0.015,0.015,#080504,0.09
3,10,0.015,0.015,#080504,0.09
4,10,0.015,0.015,#080504,0.03
5,10,0.015,0.015,#080504,0.03
6,10,0.015,0.015,#080504,0.01
7,10,0.015,0.015,#080504,0.09
8,10,0.015,0.015,#080504,0.09
9,10,0.015,0.015,#1B140D,0.07
10,10,0.015,0.015,#2B1D16,0.07
11,10,0.015,0.015,#080504,0.07
12,10,0.015,0.015,#1B140D,0.01
13,10,0.015,0.015,#2B1D16,0.07
14,10,0.015,0.015,#2B1D16,0.05
15,10,0.015,0.015,#2B1D16,0.05
16,10,0.015,0.015,#2B1D16,0.07
17,10,0.015,0.015,#2B1D16,0.07
18,10,0.015,0.015,#2B1D16,0.05
19,10,0.015,0.015,#1B140D,0.05
20,10,0.015,0.015,#2B1D16,0.05
21,10,0.015,0.015,#2B1D16,0.05
22,10,0.015,0.015,#1B140D,0.09
23,10,0.015,0.015,#13110D,0.09
24,10,0.015,0.015,#080504,0.09
25,10,0.015,0.015,#13110D,0.03
26,10,0.015,0.015,#1B140D,0.05
27,10,0.015,0.015,#1B140D,0.01
28,10,0.015,0.015,#1B140D,0.03
29,10,0.015,0.015,#1B140D,0.09
30,10,0.015,0.015,#1B140D,0.01
31,10,0.015,0.015,#2B1D16,0.05
32,10,0.015,0.015,#40211B,0.05
33,10,0.015,0.015,#40211B,0.01
34,10,0.015,0.015,#4E3028,0.03
35,10,0.015,0.015,#4E3028,0.01
36,10,0.015,0.015,#664918,0.01
37,10,0.015,0.015,#664918,0.09
38,10,0.015,0.015,#897444,0.05
39,10,0.015,0.015,#766739,0.05
40,10,0.015,0.015,#766739,0.01
41,10,0.015,0.015,#5A502E,0.09
42,10,0.015,0.015,#5A502E,0.03
43,10,0.015,0.015,#40211B,0.05
44,10,0.015,0.015,#2B1D16,0.03
45,10,0.015,0.015,#2B1D16,0.01
46,10,0.015,0.015,#2B1D16,0.01
47,10,0.015,0.015,#080504,0.07
48,10,0.015,0.015,#080504,0.03
49,10,0.015,0.015,#080504,0.01
50,10,0.015,0.015,#080504,0.09
1,11,0.015,0.015,#080504,0.09
2,11,0.015,0.015,#080504,0.07
3,11,0.015,0.015,#080504,0.01
4,11,0.015,0.015,#080504,0.05
5,11,0.015,0.015,#080504,0.09
6,11,0.015,0.015,#080504,0.09
7,11,0.015,0.015,#080504,0.01
8,11,0.015,0.015,#080504,0.05
9,11,0.015,0.015,#22342B,0.09
10,11,0.015,0.015,#1B140D,0.03
11,11,0.015,0.015,#2B1D16,0.03
12,11,0.015,0.015,#2B1D16,0.05
13,11,0.015,0.015,#1B140D,0.05
14,11,0.015,0.015,#2B1D16,0.01
15,11,0.015,0.015,#2B1D16,0.07
16,11,0.015,0.015,#1B140D,0.03
17,11,0.015,0.015,#1B140D,0.09
18,11,0.015,0.015,#080504,0.09
19,11,0.015,0.015,#13110D,0.03
20,11,0.015,0.015,#13110D,0.03
21,11,0.015,0.015,#080504,0.03
22,11,0.015,0.015,#13110D,0.07
23,11,0.015,0.015,#080504,0.05
24,11,0.015,0.015,#080504,0.03
25,11,0.015,0.015,#080504,0.05
26,11,0.015,0.015,#13110D,0.01
27,11,0.015,0.015,#080504,0.05
28,11,0.015,0.015,#080504,0.07
29,11,0.015,0.015,#080504,0.07
30,11,0.015,0.015,#080504,0.07
31,11,0.015,0.015,#13110D,0.03
32,11,0.015,0.015,#1B140D,0.09
33,11,0.015,0.015,#2B1D16,0.07
34,11,0.015,0.015,#40211B,0.07
35,11,0.015,0.015,#40211B,0.07
36,11,0.015,0.015,#40211B,0.03
37,11,0.015,0.015,#4D360A,0.09
38,11,0.015,0.015,#664918,0.01
39,11,0.015,0.015,#7F4E20,0.07
40,11,0.015,0.015,#7F4E20,0.07
41,11,0.015,0.015,#7E3021,0.05
42,11,0.015,0.015,#4D360A,0.07
43,11,0.015,0.015,#4E3028,0.01
44,11,0.015,0.015,#40211B,0.07
45,11,0.015,0.015,#4E3028,0.03
46,11,0.015,0.015,#2B1D16,0.03
47,11,0.015,0.015,#080504,0.07
48,11,0.015,0.015,#080504,0.03
49,11,0.015,0.015,#080504,0.05
50,11,0.015,0.015,#080504,0.09
1,12,0.015,0.015,#080504,0.07
2,12,0.015,0.015,#080504,0.07
3,12,0.015,0.015,#080504,0.09
4,12,0.015,0.015,#080504,0.03
5,12,0.015,0.015,#080504,0.01
6,12,0.015,0.015,#080504,0.07
7,12,0.015,0.015,#080504,0.05
8,12,0.015,0.015,#2B1D16,0.03
9,12,0.015,0.015,#1B140D,0.03
10,12,0.015,0.015,#1B140D,0.03
11,12,0.015,0.015,#2B1D16,0.07
12,12,0.015,0.015,#2B1D16,0.07
13,12,0.015,0.015,#2B1D16,0.09
14,12,0.015,0.015,#1B140D,0.07
15,12,0.015,0.015,#13110D,0.01
16,12,0.015,0.015,#1B140D,0.03
17,12,0.015,0.015,#080504,0.01
18,12,0.015,0.015,#080504,0.07
19,12,0.015,0.015,#080504,0.07
20,12,0.015,0.015,#13110D,0.07
21,12,0.015,0.015,#080504,0.03
22,12,0.015,0.015,#080504,0.07
23,12,0.015,0.015,#1B140D,0.07
24,12,0.015,0.015,#1B140D,0.01
25,12,0.015,0.015,#1B140D,0.07
26,12,0.015,0.015,#1B140D,0.05
27,12,0.015,0.015,#1B140D,0.01
28,12,0.015,0.015,#1B140D,0.09
29,12,0.015,0.015,#080504,0.09
30,12,0.015,0.015,#080504,0.03
31,12,0.015,0.015,#080504,0.07
32,12,0.015,0.015,#13110D,0.03
33,12,0.015,0.015,#13110D,0.03
34,12,0.015,0.015,#080504,0.03
35,12,0.015,0.015,#1B140D,0.01
36,12,0.015,0.015,#40211B,0.09
37,12,0.015,0.015,#40211B,0.01
38,12,0.015,0.015,#330E09,0.09
39,12,0.015,0.015,#4D360A,0.05
40,12,0.015,0.015,#664918,0.09
41,12,0.015,0.015,#664918,0.09
42,12,0.015,0.015,#664918,0.05
43,12,0.015,0.015,#4D360A,0.05
44,12,0.015,0.015,#4D360A,0.03
45,12,0.015,0.015,#4E3028,0.01
46,12,0.015,0.015,#2B1D16,0.07
47,12,0.015,0.015,#080504,0.07
48,12,0.015,0.015,#080504,0.03
49,12,0.015,0.015,#080504,0.07
50,12,0.015,0.015,#080504,0.05
1,13,0.015,0.015,#080504,0.05
2,13,0.015,0.015,#080504,0.05
3,13,0.015,0.015,#080504,0.03
4,13,0.015,0.015,#080504,0.03
5,13,0.015,0.015,#080504,0.07
6,13,0.015,0.015,#080504,0.09
7,13,0.015,0.015,#1B140D,0.05
8,13,0.015,0.015,#13110D,0.03
9,13,0.015,0.015,#1B140D,0.01
10,13,0.015,0.015,#2B1D16,0.05
11,13,0.015,0.015,#1B140D,0.05
12,13,0.015,0.015,#2B1D16,0.09
13,13,0.015,0.015,#1B140D,0.05
14,13,0.015,0.015,#080504,0.07
15,13,0.015,0.015,#010B0B,0.09
16,13,0.015,0.015,#13110D,0.01
17,13,0.015,0.015,#010B0B,0.07
18,13,0.015,0.015,#13110D,0.01
19,13,0.015,0.015,#080504,0.05
20,13,0.015,0.015,#1B140D,0.03
21,13,0.015,0.015,#1B140D,0.07
22,13,0.015,0.015,#1B140D,0.01
23,13,0.015,0.015,#371A08,0.07
24,13,0.015,0.015,#2B1D16,0.07
25,13,0.015,0.015,#5A684C,0.03
26,13,0.015,0.015,#5A684C,0.03
27,13,0.015,0.015,#697866,0.01
28,13,0.015,0.015,#697866,0.03
29,13,0.015,0.015,#5A684C,0.03
30,13,0.015,0.015,#2B1D16,0.09
31,13,0.015,0.015,#080504,0.01
32,13,0.015,0.015,#080504,0.05
33,13,0.015,0.015,#080504,0.03
34,13,0.015,0.015,#080504,0.03
35,13,0.015,0.015,#13110D,0.09
36,13,0.015,0.015,#1B140D,0.01
37,13,0.015,0.015,#2B1D16,0.09
38,13,0.015,0.015,#40211B,0.05
39,13,0.015,0.015,#40211B,0.01
40,13,0.015,0.015,#4E3028,0.09
41,13,0.015,0.015,#766739,0.09
42,13,0.015,0.015,#664918,0.07
43,13,0.015,0.015,#5A502E,0.07
44,13,0.015,0.015,#4E3028,0.09
45,13,0.015,0.015,#4E3028,0.03
46,13,0.015,0.015,#2B1D16,0.09
47,13,0.015,0.015,#080504,0.09
48,13,0.015,0.015,#080504,0.05
49,13,0.015,0.015,#080504,0.03
50,13,0.015,0.015,#080504,0.05
1,14,0.015,0.015,#080504,0.03
2,14,0.015,0.015,#080504,0.05
3,14,0.015,0.015,#080504,0.01
4,14,0.015,0.015,#080504,0.03
5,14,0.015,0.015,#080504,0.07
6,14,0.015,0.015,#13110D,0.09
7,14,0.015,0.015,#080504,0.07
8,14,0.015,0.015,#13110D,0.03
9,14,0.015,0.015,#2B1D16,0.03
10,14,0.015,0.015,#1B140D,0.07
11,14,0.015,0.015,#2B1D16,0.01
12,14,0.015,0.015,#2B1D16,0.05
13,14,0.015,0.015,#13110D,0.05
14,14,0.015,0.015,#010B0B,0.07
15,14,0.015,0.015,#010B0B,0.03
16,14,0.015,0.015,#061624,0.03
17,14,0.015,0.015,#061624,0.05
